Object Name,Object Begin Date,Link Resource,Image File Name,URL
Print,1480,http://www.metmuseum.org/art/collection/search/397055,DP816732.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816732.jpg
Drawing,1485,http://www.metmuseum.org/art/collection/search/335327,DP802953.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP802953.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/357117,DP820400.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP820400.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/359854,DP815781.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP815781.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/361941,DP820400.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP820400.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/361975,DP820401.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP820401.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/361985,DP820402.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP820402.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/361988,DP820403.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP820403.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/361990,DP820404.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP820404.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/361992,DP820405.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP820405.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/367490,DP816950.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816950.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/368340,DP816924.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816924.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/372969,DP816738.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816738.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/383745,DP820819.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP820819.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/383749,DP816941.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816941.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387377,DP816592.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816592.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387378,DP268756.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP268756.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387379,DP816608.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816608.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387381,DP816613.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816613.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387383,DP816616.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816616.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387391,DP816617.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816617.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387407,DP820426.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP820426.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387448,DP816929.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816929.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387449,DP816936.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816936.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387458,DP816921.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816921.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387461,DP816727.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816727.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387557,DP816494.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816494.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387558,DP816493.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816493.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387563,DP816942.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816942.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387567,DP816946.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816946.jpg
Print,1485,http://www.metmuseum.org/art/collection/search/387571,DP816441.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP816441.jpg
