Object Begin Date,Image File Name,Link Resource
1480,DP816732.jpg,http://www.metmuseum.org/art/collection/search/397055
1485,DP802953.jpg,http://www.metmuseum.org/art/collection/search/335327
1485,DP820400.jpg,http://www.metmuseum.org/art/collection/search/357117
1485,DP815781.jpg,http://www.metmuseum.org/art/collection/search/359854
1485,DP820400.jpg,http://www.metmuseum.org/art/collection/search/361941
1485,DP820401.jpg,http://www.metmuseum.org/art/collection/search/361975
1485,DP820402.jpg,http://www.metmuseum.org/art/collection/search/361985
1485,DP820403.jpg,http://www.metmuseum.org/art/collection/search/361988
1485,DP820404.jpg,http://www.metmuseum.org/art/collection/search/361990
1485,DP820405.jpg,http://www.metmuseum.org/art/collection/search/361992
1485,DP816950.jpg,http://www.metmuseum.org/art/collection/search/367490
1485,DP816924.jpg,http://www.metmuseum.org/art/collection/search/368340
1485,DP816738.jpg,http://www.metmuseum.org/art/collection/search/372969
1485,DP820819.jpg,http://www.metmuseum.org/art/collection/search/383745
1485,DP816941.jpg,http://www.metmuseum.org/art/collection/search/383749
1485,DP816592.jpg,http://www.metmuseum.org/art/collection/search/387377
1485,DP268756.jpg,http://www.metmuseum.org/art/collection/search/387378
1485,DP816608.jpg,http://www.metmuseum.org/art/collection/search/387379
1485,DP816613.jpg,http://www.metmuseum.org/art/collection/search/387381
1485,DP816616.jpg,http://www.metmuseum.org/art/collection/search/387383
1485,DP816617.jpg,http://www.metmuseum.org/art/collection/search/387391
1485,DP820426.jpg,http://www.metmuseum.org/art/collection/search/387407
1485,DP816929.jpg,http://www.metmuseum.org/art/collection/search/387448
1485,DP816936.jpg,http://www.metmuseum.org/art/collection/search/387449
1485,DP816921.jpg,http://www.metmuseum.org/art/collection/search/387458
1485,DP816727.jpg,http://www.metmuseum.org/art/collection/search/387461
1485,DP816494.jpg,http://www.metmuseum.org/art/collection/search/387557
1485,DP816493.jpg,http://www.metmuseum.org/art/collection/search/387558
1485,DP816942.jpg,http://www.metmuseum.org/art/collection/search/387563
1485,DP816946.jpg,http://www.metmuseum.org/art/collection/search/387567
1485,DP816441.jpg,http://www.metmuseum.org/art/collection/search/387571
1485,DP816448.jpg,http://www.metmuseum.org/art/collection/search/387572
1485,DP820483.jpg,http://www.metmuseum.org/art/collection/search/387577
1485,DP816948.jpg,http://www.metmuseum.org/art/collection/search/387584
1485,DP816450.jpg,http://www.metmuseum.org/art/collection/search/387585
1485,DP816480.jpg,http://www.metmuseum.org/art/collection/search/387590
1485,DP816479.jpg,http://www.metmuseum.org/art/collection/search/387591
1485,DP816438.jpg,http://www.metmuseum.org/art/collection/search/387606
1485,DP816492.jpg,http://www.metmuseum.org/art/collection/search/387607
1485,DP816445.jpg,http://www.metmuseum.org/art/collection/search/387608
1485,DP816596.jpg,http://www.metmuseum.org/art/collection/search/387723
1485,DP816590.jpg,http://www.metmuseum.org/art/collection/search/387724
1485,DP816587.jpg,http://www.metmuseum.org/art/collection/search/387725
1485,DP816603.jpg,http://www.metmuseum.org/art/collection/search/387726
1485,DP816609.jpg,http://www.metmuseum.org/art/collection/search/387728
1485,DP816611.jpg,http://www.metmuseum.org/art/collection/search/387729
1485,DP816612.jpg,http://www.metmuseum.org/art/collection/search/387730
1485,DP816478.jpg,http://www.metmuseum.org/art/collection/search/387731
1485,DP816496.jpg,http://www.metmuseum.org/art/collection/search/387736
1485,DP816952.jpg,http://www.metmuseum.org/art/collection/search/387740
1485,DP816495.jpg,http://www.metmuseum.org/art/collection/search/387741
1485,DP816747.jpg,http://www.metmuseum.org/art/collection/search/387751
1485,DP816793.jpg,http://www.metmuseum.org/art/collection/search/387757
1485,DP816745.jpg,http://www.metmuseum.org/art/collection/search/387758
1485,DP816753.jpg,http://www.metmuseum.org/art/collection/search/387759
1485,DP816792.jpg,http://www.metmuseum.org/art/collection/search/387760
1485,DP816794.jpg,http://www.metmuseum.org/art/collection/search/387761
1485,DP816790.jpg,http://www.metmuseum.org/art/collection/search/387762
1485,DP816782.jpg,http://www.metmuseum.org/art/collection/search/387763
1485,DP816788.jpg,http://www.metmuseum.org/art/collection/search/387764
1485,DP816789.jpg,http://www.metmuseum.org/art/collection/search/387765
1485,DP816787.jpg,http://www.metmuseum.org/art/collection/search/387766
1485,DP816754.jpg,http://www.metmuseum.org/art/collection/search/387767
1485,DP816756.jpg,http://www.metmuseum.org/art/collection/search/387768
1485,DP816774.jpg,http://www.metmuseum.org/art/collection/search/387769
1485,DP816798.jpg,http://www.metmuseum.org/art/collection/search/387774
1485,DP816799.jpg,http://www.metmuseum.org/art/collection/search/387775
1485,DP816795.jpg,http://www.metmuseum.org/art/collection/search/387776
1485,DP816797.jpg,http://www.metmuseum.org/art/collection/search/387777
1485,DP816415.jpg,http://www.metmuseum.org/art/collection/search/387778
1485,DP816409.jpg,http://www.metmuseum.org/art/collection/search/387779
1485,DP816413.jpg,http://www.metmuseum.org/art/collection/search/387780
1485,DP816806.jpg,http://www.metmuseum.org/art/collection/search/387781
1485,DP816807.jpg,http://www.metmuseum.org/art/collection/search/387782
1485,DP816808.jpg,http://www.metmuseum.org/art/collection/search/387783
1485,DP816809.jpg,http://www.metmuseum.org/art/collection/search/387784
1485,DP816810.jpg,http://www.metmuseum.org/art/collection/search/387785
1485,DP816811.jpg,http://www.metmuseum.org/art/collection/search/387786
1485,DP816803.jpg,http://www.metmuseum.org/art/collection/search/387787
1485,DP816804.jpg,http://www.metmuseum.org/art/collection/search/387788
1485,DP816805.jpg,http://www.metmuseum.org/art/collection/search/387789
1485,DP816812.jpg,http://www.metmuseum.org/art/collection/search/387790
1485,DP816813.jpg,http://www.metmuseum.org/art/collection/search/387791
1485,DP816814.jpg,http://www.metmuseum.org/art/collection/search/387792
1485,DP816823.jpg,http://www.metmuseum.org/art/collection/search/387793
1485,DP816791.jpg,http://www.metmuseum.org/art/collection/search/387801
1485,DP816456.jpg,http://www.metmuseum.org/art/collection/search/387803
1485,DP816819.jpg,http://www.metmuseum.org/art/collection/search/387804
1485,DP816815.jpg,http://www.metmuseum.org/art/collection/search/387805
